Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty
EUF,AC LD 40,Other,2026-06,0.0,0.0
EUF,AC LD 40,Other,2026-07,0.0,0.0
EUF,AC LD 40,Other,2026-08,0.0,0.0
EUF,AC LD 40,Other,2026-09,0.0,0.0
EUF,AC LD 40,Other,2026-10,0.0,0.0
EUF,AC LD 40,Other,2026-11,0.0,0.0
EUF,AC LD 40,Other,2026-12,0.0,0.0
EUF,AC LD 40,Production Labor,2025-11,0.0,0.0
EUF,AC LD 40,Production Labor,2025-12,0.0,0.0
EUF,AC LD 40,Production Labor,2026-01,0.0593,350.0
EUF,AC LD 40,Production Labor,2026-02,0.0,0.0
EUF,AC LD 40,Production Labor,2026-03,0.0,0.0
EUF,AC LD 40,Production Labor,2026-04,0.0,0.0
EUF,AC LD 40,Production Labor,2026-05,0.0,0.0
EUF,AC LD 40,Production Labor,2026-06,0.0,0.0
EUF,AC LD 40,Production Labor,2026-07,0.0,0.0
EUF,AC LD 40,Production Labor,2026-08,0.0,0.0
EUF,AC LD 40,Production Labor,2026-09,0.0,0.0
EUF,AC LD 40,Production Labor,2026-10,0.0,0.0
EUF,AC LD 40,Production Labor,2026-11,0.0,0.0
EUF,AC LD 40,Production Labor,2026-12,0.0,0.0
EUF,AC LD 40,R&M,2025-11,0.0,0.0
EUF,AC LD 40,R&M,2025-12,0.0,0.0
EUF,AC LD 40,R&M,2026-01,0.035,350.0
EUF,AC LD 40,R&M,2026-02,0.0,0.0
EUF,AC LD 40,R&M,2026-03,0.0,0.0
EUF,AC LD 40,R&M,2026-04,0.0,0.0
EUF,AC LD 40,R&M,2026-05,0.0,0.0
EUF,AC LD 40,R&M,2026-06,0.0,0.0
EUF,AC LD 40,R&M,2026-07,0.0,0.0
EUF,AC LD 40,R&M,2026-08,0.0,0.0
EUF,AC LD 40,R&M,2026-09,0.0,0.0
EUF,AC LD 40,R&M,2026-10,0.0,0.0
EUF,AC LD 40,R&M,2026-11,0.0,0.0
EUF,AC LD 40,R&M,2026-12,0.0,0.0
EUF,AC LD 40,R&M Labor,2025-11,0.0,0.0
EUF,AC LD 40,R&M Labor,2025-12,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-01,0.0172,350.0
EUF,AC LD 40,R&M Labor,2026-02,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-03,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-04,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-05,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-06,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-07,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-08,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-09,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-10,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-11,0.0,0.0
EUF,AC LD 40,R&M Labor,2026-12,0.0,0.0
EUF,AC LD 40,Supervision,2025-11,0.0,0.0
EUF,AC LD 40,Supervision,2025-12,0.0,0.0
EUF,AC LD 40,Supervision,2026-01,0.0,350.0
EUF,AC LD 40,Supervision,2026-02,0.0,0.0
EUF,AC LD 40,Supervision,2026-03,0.0,0.0
EUF,AC LD 40,Supervision,2026-04,0.0,0.0
EUF,AC LD 40,Supervision,2026-05,0.0,0.0
EUF,AC LD 40,Supervision,2026-06,0.0,0.0
EUF,AC LD 40,Supervision,2026-07,0.0,0.0
EUF,AC LD 40,Supervision,2026-08,0.0,0.0
EUF,AC LD 40,Supervision,2026-09,0.0,0.0
EUF,AC LD 40,Supervision,2026-10,0.0,0.0
EUF,AC LD 40,Supervision,2026-11,0.0,0.0
EUF,AC LD 40,Supervision,2026-12,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2025-11,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2025-12,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-01,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-02,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-03,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-04,0.0048,12000.0
MCI,Bauxite Pellets,Depreciation,2026-05,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-06,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-07,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-08,0.0072,6000.0
MCI,Bauxite Pellets,Depreciation,2026-09,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-10,0.0074,6400.0
MCI,Bauxite Pellets,Depreciation,2026-11,0.0,0.0
MCI,Bauxite Pellets,Depreciation,2026-12,0.0,0.0
MCI,Bauxite Pellets,Electricity,2025-11,0.0,0.0
MCI,Bauxite Pellets,Electricity,2025-12,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-01,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-02,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-03,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-04,0.0082,12000.0
MCI,Bauxite Pellets,Electricity,2026-05,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-06,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-07,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-08,0.0082,6000.0
MCI,Bauxite Pellets,Electricity,2026-09,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-10,0.0082,6400.0
MCI,Bauxite Pellets,Electricity,2026-11,0.0,0.0
MCI,Bauxite Pellets,Electricity,2026-12,0.0,0.0
MCI,Bauxite Pellets,Gas,2025-11,0.0,0.0
MCI,Bauxite Pellets,Gas,2025-12,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-01,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-02,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-03,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-04,0.0045,12000.0
MCI,Bauxite Pellets,Gas,2026-05,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-06,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-07,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-08,0.0045,6000.0
MCI,Bauxite Pellets,Gas,2026-09,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-10,0.0045,6400.0
MCI,Bauxite Pellets,Gas,2026-11,0.0,0.0
MCI,Bauxite Pellets,Gas,2026-12,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2025-11,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2025-12,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-01,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-02,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-03,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-04,0.0114,12000.0
MCI,Bauxite Pellets,Indirect Labor,2026-05,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-06,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-07,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-08,0.0114,6000.0
MCI,Bauxite Pellets,Indirect Labor,2026-09,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-10,0.0114,6400.0
MCI,Bauxite Pellets,Indirect Labor,2026-11,0.0,0.0
MCI,Bauxite Pellets,Indirect Labor,2026-12,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2025-11,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2025-12,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-01,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-02,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-03,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-04,0.0037,12000.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-05,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-06,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-07,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-08,0.0055,6000.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-09,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-10,0.0056,6400.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-11,0.0,0.0
MCI,Bauxite Pellets,Insurance & Taxes,2026-12,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2025-11,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2025-12,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-01,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-02,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-03,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-04,0.0014,12000.0
MCI,Bauxite Pellets,Manufacturing,2026-05,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-06,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-07,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-08,0.0021,6000.0
MCI,Bauxite Pellets,Manufacturing,2026-09,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-10,0.0022,6400.0
MCI,Bauxite Pellets,Manufacturing,2026-11,0.0,0.0
MCI,Bauxite Pellets,Manufacturing,2026-12,0.0,0.0
MCI,Bauxite Pellets,Materials,2025-11,0.0,0.0
MCI,Bauxite Pellets,Materials,2025-12,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-01,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-02,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-03,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-04,0.105,12000.0
MCI,Bauxite Pellets,Materials,2026-05,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-06,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-07,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-08,0.105,6000.0
MCI,Bauxite Pellets,Materials,2026-09,0.0,0.0
MCI,Bauxite Pellets,Materials,2026-10,0.105,6400.0
