Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty,Cost,rate_fill_flag,Forecasted_Qty,MembrainProductMesh
NI,ACCUCAST HT 50,Electricity,2026-05,0.01,80.0,429.91,original,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2026-06,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Electricity,2026-07,0.01,80.0,3000.03,original,300003,"ACCUCAST HT 50, ACCUCAST HT 70"
MCI,ACCUCAST HT 50,Electricity,2026-08,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2026-09,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2026-10,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2026-11,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2026-12,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Gas,2025-11,0.045,0.0,,carry_back_all_zero_period,,
MCI,ACCUCAST HT 50,Gas,2025-12,0.045,600.0,,original,,
MCI,ACCUCAST HT 50,Gas,2026-01,0.045,0.0,1934.595,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Gas,2026-02,0.004,80.0,171.964,original,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Gas,2026-03,0.045,0.0,1934.595,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Gas,2026-04,0.045,0.0,1934.595,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Gas,2026-05,0.004,80.0,171.964,original,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Gas,2026-06,0.045,0.0,1934.595,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Gas,2026-07,0.004,80.0,1200.012,original,300003,"ACCUCAST HT 50, ACCUCAST HT 70"
MCI,ACCUCAST HT 50,Gas,2026-08,0.045,0.0,1934.595,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Gas,2026-09,0.045,0.0,1934.595,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Gas,2026-10,0.045,0.0,1934.595,carry_forward_all_zero_period,42991,ACCUCAST HT 50
