PlantProductMesh,MembrainProductMesh,PeriodKey,QTY
BAUXITE PELLET,CARBOBEAD-LT 40/60,2026-12,35000
CARBOBOND LITE 20/40,CARBOBOND LITE 20/40,2026-12,918400
CARBOGRIND 260-010,CARBOGRIND 260-008,2026-12,34215
CARBOGRIND 260-010,CARBOGRIND 260-010,2026-12,91434
CARBOGRIND 280-030,CARBOGRIND 280-030,2026-12,619483
CARBO LITE 16/20,CARBOLITE 16/20,2026-12,224000
CARBO LITE 20/40,CARBOLITE 20/40,2026-12,224000
CARBO LITE 16/20,CL 16/20,2026-12,8333333
CARBO LITE 40/60,CL 40/70,2026-12,10000000
CARBOGRIND 280-030,CS CARBOGRIND XT 360 100,2026-12,300
CARBOGRIND 280-030,CSCARBOGRIND CT,2026-12,90207
KRYPTOSPHERE HD (H) 25,KRYPTOSPHERE HD 25,2026-12,3500000
KRYPTOSPHERE HD (H) 25,KRYPTOSPHERE XT 25,2026-12,600000
BAUXITE PELLET,"NITREA NU, NITREA PLUS",2026-12,530
BAUXITE PELLET,OPTICAST 140,2026-12,205000
BAUXITE PELLET,UltraFill Coolscape,2026-12,476800
